FAT - FRESNO YOSEMITE INTERNATIONAL AIRPORT (FRESNO, CALIFORNIA)
GRR - GERALD R. FORD INTERNATIONAL AIRPORT (GRAND RAPIDS, MICHIGAN)
SYR - SYRACUSE HANCOCK INTERNATIONAL AIRPORT (SYRACUSE, NEW YORK)
MHT - MANCHESTER-BOSTON REGIONAL AIRPORT (MANCHESTER, NEW HAMPSHIRE)
CHS - CHARLESTON INTERNATIONAL AIRPORT (CHARLESTON, SOUTH CAROLINA)
CRP - CORPUS CHRISTI INTERNATIONAL AIRPORT (CORPUS CHRISTI, TEXAS)
AVL - ASHEVILLE REGIONAL AIRPORT (ASHEVILLE, NORTH CAROLINA)
ROA - ROANOKE-BLACKSBURG REGIONAL AIRPORT (ROANOKE, VIRGINIA)
ICT - WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT (WICHITA, KANSAS)
RNO - RENO-TAHOE INTERNATIONAL AIRPORT (RENO, NEVADA)
LBB - LUBBOCK PRESTON SMITH INTERNATIONAL AIRPORT (LUBBOCK, TEXAS)
AGS - AUGUSTA REGIONAL AIRPORT (AUGUSTA, GEORGIA)
MOB - MOBILE REGIONAL AIRPORT (MOBILE, ALABAMA)
COS - COLORADO SPRINGS AIRPORT (COLORADO SPRINGS, COLORADO)
MFE - MCALLEN INTERNATIONAL AIRPORT (MCALLEN, TEXAS)
CID - THE EASTERN IOWA AIRPORT (CEDAR RAPIDS, IOWA)
LSE - LA CROSSE REGIONAL AIRPORT (LA CROSSE, WISCONSIN)
BFL - MEADOWS FIELD AIRPORT (BAKERSFIELD, CALIFORNIA)
SBN - SOUTH BEND INTERNATIONAL AIRPORT (SOUTH BEND, INDIANA)
TOL - TOLEDO EXPRESS AIRPORT (TOLEDO, OHIO)
LFT - LAFAYETTE REGIONAL AIRPORT (LAFAYETTE, LOUISIANA)
JAN - JACKSON-MEDGAR WILEY EVERS INTERNATIONAL AIRPORT (JACKSON, MISSISSIPPI)
PIA - GENERAL WAYNE A. DOWNING PEORIA INTERNATIONAL AIRPORT (PEORIA, ILLINOIS)
EVV - EVANSVILLE REGIONAL AIRPORT (EVANSVILLE, INDIANA)
GPT - GULFPORT-BILOXI INTERNATIONAL AIRPORT (GULFPORT, MISSISSIPPI)
FSM - FORT SMITH REGIONAL AIRPORT (FORT SMITH, ARKANSAS)
BTR - BATON ROUGE METROPOLITAN AIRPORT (BATON ROUGE, LOUISIANA)
TLH - TALLAHASSEE INTERNATIONAL AIRPORT (TALLAHASSEE, FLORIDA)
